timestamp,city,latitude,longitude,temp_c,feels_like_c,humidity_pct,precipitation_mm,wind_speed_kmh
2026-08-21 15:01:05,Nilgiris,11.4916,76.7337,16.1,17.1,89,0.0,3.3
2026-08-21 15:01:05,Perambalur,11.2342,78.8821,29.7,31.6,65,0.0,21.9
2026-08-21 15:01:05,Pudukkottai,10.3833,78.8,29.0,31.8,63,0.0,10.8
2026-08-21 15:01:05,Ramanathapuram,9.3639,78.8395,31.0,33.7,58,0.0,14.3
2026-08-21 15:01:05,Ranipet,12.9224,79.3331,25.4,30.2,91,0.1,7.8
2026-08-21 15:01:05,Salem,11.6643,78.146,28.4,31.3,63,0.0,9.0
2026-08-21 15:01:05,Sivaganga,9.8433,78.4809,30.3,34.2,63,0.0,8.0
2026-08-21 15:01:05,Tenkasi,8.9593,77.3153,25.3,26.1,81,0.0,27.6
2026-08-21 15:01:05,Thanjavur,10.787,79.1378,28.3,31.7,72,0.0,13.3
2026-08-21 15:01:05,Theni,10.0104,77.4768,28.1,30.0,62,0.0,13.6
2026-08-21 15:01:05,Thoothukudi,8.7642,78.1348,31.2,31.6,49,0.0,20.9
2026-08-21 15:01:05,Tiruchirappalli,10.7905,78.7047,29.7,34.9,70,0.0,4.3
2026-08-21 15:01:05,Tirunelveli,8.7139,77.7567,29.6,30.5,55,0.0,18.4
2026-08-21 15:01:05,Tirupathur,12.4926,78.5683,25.3,29.2,80,0.0,5.5
2026-08-21 15:01:05,Tiruppur,11.1085,77.3411,25.6,27.0,78,0.0,22.0
2026-08-21 15:01:05,Tiruvallur,13.1432,79.9098,27.0,30.7,83,0.0,15.1
2026-08-21 15:01:05,Tiruvannamalai,12.2253,79.0747,26.5,33.0,93,0.1,2.3
2026-08-21 15:01:05,Tiruvarur,10.7711,79.6364,28.6,31.7,73,0.0,17.3
2026-08-21 15:01:05,Vellore,12.9165,79.1325,24.3,29.4,95,0.4,4.3
2026-08-21 15:01:05,Viluppuram,11.9401,79.4861,25.4,30.9,94,2.2,5.4
2026-08-21 15:01:05,Virudhunagar,9.568,77.9624,31.9,33.4,44,0.0,9.3
